fov,sep,width,vel,dps,foot
2,1075,240.2816009,140,26,42.29583024
2,1080,120.976228,140,26,42.88523421
2.1,995,577.0476214,105,26,39.06454361
2.1,1000,541.3722909,110,26,39.37348436
2.1,1005,502.9751061,120,26,39.65091913
2.1,1010,461.1767094,135,26,39.90989909
2.1,1015,414.950548,140,26,40.28002607
2.1,1020,362.6071667,140,26,40.70946996
2.1,1025,300.9716886,140,26,41.16466303
2.1,1030,222.4498985,140,28,41.70509931
2.2,950,578.7401312,105,28,38.30328456
2.2,955,544.8303768,110,28,38.6082137
2.2,960,508.4684252,120,28,38.88118655
2.2,965,469.0843628,130,28,39.17528011
2.2,970,425.8405094,140,28,39.49425794
2.2,975,377.4124262,140,28,39.91060084
2.2,980,321.4656116,140,28,40.34754792
2.2,985,253.061533,140,28,40.81743774
2.2,990,156.6529268,140,30,41.38453422
2.3,905,597.8943094,100,30,37.44496189
2.3,910,566.7253349,105,30,37.73893733
2.3,915,533.5518767,115,30,37.99829651
2.3,920,497.9734985,125,30,38.27553927
2.3,925,459.4318286,135,30,38.57329656
2.3,930,417.1062277,140,30,38.93113282
2.3,935,369.6993443,140,30,39.34268213
2.3,940,314.9247611,140,30,39.77423783
2.3,945,247.9467789,140,30,40.23746651
2.3,950,153.5500087,140,30,40.76908686
2.4,870,566.8483951,100,30,37.03413578
2.4,875,535.1795055,105,32,37.39483032
2.4,880,501.3153729,125,32,37.57929154
2.4,885,464.7764011,135,32,37.87127479
2.4,890,424.8730435,140,32,38.22085291
2.4,895,380.5484241,140,32,38.62213755
2.4,900,330.0259127,140,32,39.04013153
2.4,905,269.8464435,140,32,39.48324438
2.4,910,191.0944873,140,32,39.9725901
2.5,830,580.6495639,100,32,36.2374764
2.5,835,551.2294587,105,32,36.52873446
2.5,840,519.9556867,110,32,36.8303495
2.5,845,486.470879,120,32,37.10153235
2.5,850,450.2820406,130,32,37.39218618
2.5,855,410.6749519,140,34,37.76451897
2.5,860,366.5431981,140,34,38.16350001
2.5,865,315.9967027,140,34,38.57952931
2.5,870,255.2526515,140,34,39.02163537
2.5,875,173.936529,140,34,39.51374412
2.6,795,575.5089041,100,34,35.68343805
2.6,800,547.0927697,105,34,35.97216512
2.6,805,516.9240744,115,34,36.22725728
2.6,810,484.6756634,120,34,36.53945859
2.6,815,449.9005431,135,34,36.788041
2.6,820,411.959341,140,36,37.18910348
2.6,825,369.8790325,140,36,37.58070284
2.6,830,322.0411443,140,36,37.98771344
2.6,835,265.3497666,140,36,38.41735116
2.6,840,192.1210521,140,36,38.88701954
2.7,760,579.3312946,100,36,35.04676385
2.7,765,552.3809817,105,36,35.33034496
2.7,770,523.8556566,110,36,35.62317313
2.7,775,493.4822681,120,36,35.88541451
2.7,780,460.8955944,130,36,36.16421833
2.7,785,425.5875338,140,36,36.46200484
2.7,790,386.8135842,140,36,36.84724457
2.7,795,343.4017311,140,38,37.28832952
2.7,800,293.2997595,140,38,37.69908869
2.7,805,232.2170298,140,38,38.13704885
2.7,810,147.0535581,140,38,38.63131614
2.8,730,564.8786141,100,38,34.6640791
2.8,735,538.3194671,105,38,34.94720096
2.8,740,510.1841321,115,38,35.19814583
2.8,745,480.1956359,125,38,35.46361474
2.8,750,447.9819736,135,38,35.74552588
2.8,755,413.0228186,140,38,36.08039794
2.8,760,374.5501952,140,38,36.46260183
2.8,765,331.3424946,140,40,36.89649452
2.8,770,281.2256188,140,40,37.30514616
2.8,775,219.5173084,140,40,37.74189772
2.8,780,130.7204984,140,40,38.2410915
2.9,700,558.0210147,100,40,34.21598207
2.9,705,532.2475484,110,40,34.45427476
2.9,710,504.9628232,115,40,34.74544439
2.9,715,475.9069791,125,40,35.00837541
2.9,720,444.7330129,135,40,35.28707917
2.9,725,410.9591863,140,40,35.61713352
2.9,730,373.8816027,140,40,35.99294762
2.9,735,332.3965295,140,42,36.4173729
2.9,740,284.5829454,140,42,36.81799066
2.9,745,226.4673327,140,42,37.24357664
2.9,750,146.2444967,140,42,37.71997639
3,670,556.2095112,100,42,33.71471902
3,675,531.4781466,105,42,33.99064118
3,680,505.3404994,115,42,34.23552042
3,685,477.5657236,120,42,34.53108796
3,690,447.8493277,130,42,34.80172993
3,695,415.7752041,140,42,35.08904574
3,700,380.7479748,140,42,35.45637574
3,705,341.8611126,140,44,35.86967433
3,710,297.6054776,140,44,36.25882768
3,715,245.0898209,140,44,36.66835023
3,720,177.1130157,140,44,37.11381013
3.1,640,558.5088072,100,44,33.16978365
3.1,645,535.006624,105,44,33.43986394
3.1,650,510.2274862,110,44,33.71790743
3.1,655,483.9752966,120,44,33.96727509
3.1,660,455.9957102,130,44,34.23006491
3.1,665,425.9484566,140,44,34.50810172
3.1,670,393.3599976,140,46,34.90278335
3.1,675,357.5361348,140,46,35.26657559
3.1,680,317.3831875,140,46,35.64235885
3.1,685,270.9835561,140,46,36.03415266
3.1,690,214.317726,140,46,36.45052495
