fov,sep,width,vel,dps,foot
2.8,1053.0,944.38,100.0,30.0,49.4033
2.8,1055.0,935.409,105.0,30.0,49.4567
2.8,1057.0,926.334,105.0,30.0,49.5681
2.8,1059.0,917.151,105.0,30.0,49.6798
2.8,1061.0,907.858,105.0,30.0,49.7918
2.8,1063.0,898.451,110.0,30.0,49.8492
2.8,1065.0,888.927,110.0,30.0,49.9625
2.8,1067.0,879.281,110.0,30.0,50.0762
2.8,1069.0,869.509,115.0,30.0,50.1368
2.8,1071.0,859.608,115.0,30.0,50.2519
2.8,1073.0,849.573,115.0,30.0,50.3674
2.8,1075.0,839.399,120.0,30.0,50.4314
2.8,1077.0,829.08,120.0,30.0,50.5483
2.8,1079.0,818.612,120.0,30.0,50.6657
2.8,1081.0,807.989,125.0,30.0,50.7334
2.8,1083.0,797.204,125.0,30.0,50.8523
2.8,1085.0,786.251,125.0,30.0,50.9717
2.8,1087.0,775.122,130.0,30.0,51.0433
2.8,1089.0,763.81,130.0,30.0,51.1645
2.8,1091.0,752.307,135.0,30.0,51.2391
2.8,1093.0,740.604,135.0,30.0,51.362
2.8,1095.0,728.691,140.0,30.0,51.4398
2.8,1097.0,716.557,140.0,30.0,51.5647
2.8,1099.0,704.192,140.0,30.0,51.6902
2.8,1101.0,691.583,140.0,30.0,51.8163
2.8,1103.0,678.715,140.0,30.0,51.9432
2.8,1105.0,665.575,140.0,30.0,52.0707
2.8,1107.0,652.146,140.0,30.0,52.1991
2.8,1109.0,638.409,140.0,30.0,52.3282
2.8,1111.0,624.345,140.0,30.0,52.4581
2.8,1113.0,609.93,140.0,30.0,52.5889
2.8,1115.0,595.139,140.0,30.0,52.7206
2.8,1117.0,579.943,140.0,30.0,52.8533
2.8,1119.0,564.311,140.0,30.0,52.987
2.8,1121.0,548.203,140.0,30.0,53.1218
2.8,1123.0,531.577,140.0,30.0,53.2577
2.8,1125.0,514.384,140.0,30.0,53.395
2.8,1127.0,496.563,140.0,30.0,53.5335
2.8,1129.0,478.044,140.0,30.0,53.6736
2.8,1131.0,458.744,140.0,30.0,53.8154
2.8,1133.0,438.559,140.0,30.0,53.9589
2.8,1135.0,417.361,140.0,30.0,54.1045
2.8,1137.0,394.987,140.0,30.0,54.2525
2.8,1139.0,371.223,140.0,30.0,54.4032
2.8,1141.0,345.784,140.0,30.0,54.5572
2.8,1143.0,318.268,140.0,30.0,54.7152
2.8,1145.0,288.081,140.0,30.0,54.8782
2.8,1147.0,254.272,140.0,30.0,55.0479
2.8,1149.0,215.143,140.0,30.0,55.2274
2.8,1151.0,166.992,140.0,30.0,55.4233
2.8,1153.0,97.234,140.0,30.0,55.6581
3.0,956.0,922.914,100.0,32.0,48.0405
3.0,958.0,914.581,100.0,32.0,48.1473
3.0,960.0,906.154,100.0,32.0,48.2545
3.0,962.0,897.629,100.0,32.0,48.3621
3.0,964.0,889.005,105.0,32.0,48.4157
3.0,966.0,880.279,105.0,32.0,48.5244
3.0,968.0,871.446,105.0,32.0,48.6335
3.0,970.0,862.505,105.0,32.0,48.743
3.0,972.0,853.451,110.0,32.0,48.8004
3.0,974.0,844.281,110.0,32.0,48.9112
3.0,976.0,834.991,110.0,32.0,49.0223
3.0,978.0,825.578,115.0,32.0,49.083
3.0,980.0,816.036,115.0,32.0,49.1955
3.0,982.0,806.361,115.0,32.0,49.3084
3.0,984.0,796.549,120.0,32.0,49.3724
3.0,986.0,786.594,120.0,32.0,49.4868
3.0,988.0,776.491,120.0,32.0,49.6017
3.0,990.0,766.234,125.0,32.0,49.6693
3.0,992.0,755.816,125.0,32.0,49.7857
3.0,994.0,745.232,130.0,32.0,49.8561
3.0,996.0,734.473,130.0,32.0,49.9742
3.0,998.0,723.532,135.0,32.0,50.0474
3.0,1000.0,712.4,135.0,32.0,50.1673
3.0,1002.0,701.069,140.0,32.0,50.2436
3.0,1004.0,689.529,140.0,32.0,50.3653
3.0,1006.0,677.769,140.0,32.0,50.4877
3.0,1008.0,665.776,140.0,32.0,50.6107
3.0,1010.0,653.54,140.0,32.0,50.7344
3.0,1012.0,641.045,140.0,32.0,50.8589
3.0,1014.0,628.276,140.0,32.0,50.984
3.0,1016.0,615.216,140.0,32.0,51.11
3.0,1018.0,601.846,140.0,32.0,51.2367
3.0,1020.0,588.145,140.0,32.0,51.3643
3.0,1022.0,574.089,140.0,32.0,51.4928
3.0,1024.0,559.652,140.0,32.0,51.6223
3.0,1026.0,544.803,140.0,32.0,51.7527
3.0,1028.0,529.508,140.0,32.0,51.8842
3.0,1030.0,513.726,140.0,32.0,52.0168
3.0,1032.0,497.412,140.0,32.0,52.1507
3.0,1034.0,480.51,140.0,32.0,52.2858
3.0,1036.0,462.958,140.0,32.0,52.4224
3.0,1038.0,444.678,140.0,32.0,52.5606
3.0,1040.0,425.575,140.0,32.0,52.7005
3.0,1042.0,405.535,140.0,32.0,52.8424
3.0,1044.0,384.409,140.0,32.0,52.9865
3.0,1046.0,362.009,140.0,32.0,53.1331
3.0,1048.0,338.08,140.0,32.0,53.2828
3.0,1050.0,312.273,140.0,32.0,53.4361
3.0,1052.0,284.074,140.0,32.0,53.594
3.0,1054.0,252.686,140.0,32.0,53.7579
3.0,1056.0,216.726,140.0,32.0,53.9303
3.0,1058.0,173.373,140.0,32.0,54.1163
3.0,1060.0,114.517,140.0,32.0,54.3304
3.2,871.0,878.624,100.0,34.0,47.1192
3.2,873.0,870.649,100.0,34.0,47.2228
3.2,875.0,862.58,100.0,34.0,47.3267
