fov,sep,width,vel,dps,foot,,,,,,,,
1.6,4505,674.2204264,140,20,463.373242,,,,,,,,
1.6,4510,523.7109731,140,20,464.7674364,,,,,,,,
1.6,4515,306.2240737,140,20,466.3316297,,,,,,,,
1.7,3300,5621.826813,140,20,256.5240154,,,,,,,,
1.7,3305,5610.065661,140,20,257.3264429,,,,,,,,
1.7,3310,5598.261937,140,20,258.1302391,,,,,,,,
1.7,3315,5586.415373,140,20,258.9354047,,,,,,,,
1.7,3320,5574.525695,140,20,259.7419406,,,,,,,,
1.7,3325,5562.592626,140,20,260.5498477,,,,,,,,
1.7,3330,5550.615887,140,20,261.3591268,,,,,,,,
1.7,3335,5538.595194,140,20,262.169779,,,,,,,,
1.7,3340,5526.53026,140,20,262.981805,,,,,,,,
1.7,3345,5514.420796,140,20,263.7952058,,,,,,,,
1.7,3350,5502.266508,140,20,264.6099824,,,,,,,,
1.7,3355,5490.067096,140,20,265.4261356,,,,,,,,
1.7,3360,5477.822261,140,20,266.2436665,,,,,,,,
1.7,3365,5465.531696,140,20,267.0625759,,,,,,,,
1.7,3370,5453.195093,140,20,267.8828649,,,,,,,,
1.7,3375,5440.812138,140,20,268.7045345,,,,,,,,
1.7,3380,5428.382514,140,20,269.5275856,,,,,,,,
1.7,3385,5415.9059,140,20,270.3520193,,,,,,,,
1.7,3390,5403.381971,140,20,271.1778365,,,,,,,,
1.7,3395,5390.810395,140,20,272.0050384,,,,,,,,
1.7,3400,5378.190841,140,20,272.8336259,,,,,,,,
1.7,3405,5365.522968,140,20,273.6636001,,,,,,,,
1.7,3410,5352.806434,140,20,274.4949621,,,,,,,,
1.7,3415,5340.040891,140,20,275.327713,,,,,,,,
1.7,3420,5327.225987,140,20,276.1618539,,,,,,,,
1.7,3425,5314.361365,140,20,276.9973859,,,,,,,,
1.7,3430,5301.446663,140,20,277.83431,,,,,,,,
1.7,3435,5288.481514,140,20,278.6726276,,,,,,,,
1.7,3440,5275.465545,140,20,279.5123396,,,,,,,,
1.7,3445,5262.398381,140,20,280.3534474,,,,,,,,
1.7,3450,5249.279638,140,20,281.195952,,,,,,,,
1.7,3455,5236.108929,140,20,282.0398547,,,,,,,,
1.7,3460,5222.885861,140,20,282.8851567,,,,,,,,
1.7,3465,5209.610035,140,20,283.7318592,,,,,,,,
1.7,3470,5196.281047,140,20,284.5799635,,,,,,,,
1.7,3475,5182.898486,140,20,285.4294708,,,,,,,,
1.7,3480,5169.461937,140,20,286.2803825,,,,,,,,
1.7,3485,5155.970977,140,20,287.1326998,,,,,,,,
1.7,3490,5142.425179,140,20,287.9864241,,,,,,,,
1.7,3495,5128.824107,140,20,288.8415566,,,,,,,,
1.7,3500,5115.167321,140,20,289.6980988,,,,,,,,
1.7,3505,5101.454373,140,20,290.556052,,,,,,,,
1.7,3510,5087.684809,140,20,291.4154176,,,,,,,,
1.7,3515,5073.858169,140,20,292.2761971,,,,,,,,
1.7,3520,5059.973984,140,20,293.1383918,,,,,,,,
1.7,3525,5046.03178,140,20,294.0020032,,,,,,,,
1.7,3530,5032.031073,140,20,294.8670328,,,,,,,,
1.7,3535,5017.971375,140,20,295.7334821,,,,,,,,
1.7,3540,5003.852188,140,20,296.6013526,,,,,,,,
1.7,3545,4989.673007,140,20,297.4706459,,,,,,,,
1.7,3550,4975.43332,140,20,298.3413634,,,,,,,,
1.7,3555,4961.132605,140,20,299.2135069,,,,,,,,
1.7,3560,4946.770332,140,20,300.0870778,,,,,,,,
1.7,3565,4932.345965,140,20,300.9620779,,,,,,,,
1.7,3570,4917.858957,140,20,301.8385088,,,,,,,,
1.7,3575,4903.308752,140,20,302.7163721,,,,,,,,
1.7,3580,4888.694787,140,20,303.5956697,,,,,,,,
1.7,3585,4874.016487,140,20,304.4764032,,,,,,,,
1.7,3590,4859.273271,140,20,305.3585743,,,,,,,,
1.7,3595,4844.464544,140,20,306.242185,,,,,,,,
1.7,3600,4829.589705,140,20,307.1272369,,,,,,,,
1.7,3605,4814.648141,140,20,308.013732,,,,,,,,
1.7,3610,4799.639228,140,20,308.9016722,,,,,,,,
1.7,3615,4784.562333,140,20,309.7910592,,,,,,,,
1.7,3620,4769.416811,140,20,310.6818952,,,,,,,,
1.7,3625,4754.202007,140,20,311.5741819,,,,,,,,
1.7,3630,4738.917252,140,20,312.4679216,,,,,,,,
1.7,3635,4723.561868,140,20,313.3631161,,,,,,,,
1.7,3640,4708.135164,140,20,314.2597676,,,,,,,,
1.7,3645,4692.636436,140,20,315.1578782,,,,,,,,
1.7,3650,4677.064969,140,20,316.0574499,,,,,,,,
1.7,3655,4661.420033,140,20,316.9584851,,,,,,,,
1.7,3660,4645.700886,140,20,317.8609859,,,,,,,,
1.7,3665,4629.906772,140,20,318.7649545,,,,,,,,
1.7,3670,4614.036922,140,20,319.6703933,,,,,,,,
1.7,3675,4598.090552,140,20,320.5773046,,,,,,,,
1.7,3680,4582.066861,140,20,321.4856908,,,,,,,,
1.7,3685,4565.965037,140,20,322.3955542,,,,,,,,
1.7,3690,4549.78425,140,20,323.3068975,,,,,,,,
1.7,3695,4533.523654,140,20,324.2197229,,,,,,,,
1.7,3700,4517.182387,140,20,325.1340333,,,,,,,,
1.7,3705,4500.759571,140,20,326.049831,,,,,,,,
1.7,3710,4484.25431,140,20,326.9671188,,,,,,,,
1.7,3715,4467.66569,140,20,327.8858995,,,,,,,,
1.7,3720,4450.992779,140,20,328.8061756,,,,,,,,
1.7,3725,4434.234626,140,20,329.7279501,,,,,,,,
1.7,3730,4417.390261,140,20,330.6512258,,,,,,,,
1.7,3735,4400.458694,140,20,331.5760057,,,,,,,,
1.7,3740,4383.438915,140,20,332.5022927,,,,,,,,
1.7,3745,4366.329891,140,20,333.4300898,,,,,,,,
1.7,3750,4349.130571,140,20,334.3594001,,,,,,,,
1.7,3755,4331.839877,140,20,335.2902268,,,,,,,,
1.7,3760,4314.456712,140,20,336.2225732,,,,,,,,
1.7,3765,4296.979953,140,20,337.1564425,,,,,,,,
1.7,3770,4279.408454,140,20,338.091838,,,,,,,,
1.7,3775,4261.741043,140,20,339.0287633,,,,,,,,
1.7,3780,4243.976522,140,20,339.9672217,,,,,,,,
1.7,3785,4226.113666,140,20,340.907217,,,,,,,,
1.7,3790,4208.151224,140,20,341.8487527,,,,,,,,
1.7,3795,4190.087913,140,20,342.7918325,,,,,,,,
1.7,3800,4171.922425,140,20,343.7364604,,,,,,,,
1.7,3805,4153.653418,140,20,344.6826402,,,,,,,,
1.7,3810,4135.279521,140,20,345.6303758,,,,,,,,
1.7,3815,4116.79933,140,20,346.5796715,,,,,,,,
1.7,3820,4098.211405,140,20,347.5305313,,,,,,,,
1.7,3825,4079.514275,140,20,348.4829595,,,,,,,,
1.7,3830,4060.706431,140,20,349.4369606,,,,,,,,
1.7,3835,4041.786328,140,20,350.3925389,,,,,,,,
1.7,3840,4022.752381,140,20,351.3496991,,,,,,,,
1.7,3845,4003.602967,140,20,352.3084458,,,,,,,,
1.7,3850,3984.336422,140,20,353.268784,,,,,,,,
1.7,3855,3964.951036,140,20,354.2307184,,,,,,,,
1.7,3860,3945.44506,140,20,355.1942542,,,,,,,,
1.7,3865,3925.816695,140,20,356.1593966,,,,,,,,
1.7,3870,3906.064096,140,20,357.1261508,,,,,,,,
1.7,3875,3886.185369,140,20,358.0945223,,,,,,,,
1.7,3880,3866.178568,140,20,359.0645167,,,,,,,,
1.7,3885,3846.041695,140,20,360.0361398,,,,,,,,
1.7,3890,3825.772696,140,20,361.0093974,,,,,,,,
1.7,3895,3805.369459,140,20,361.9842956,,,,,,,,
1.7,3900,3784.829814,140,20,362.9608406,,,,,,,,
1.7,3905,3764.151527,140,20,363.9390388,,,,,,,,
1.7,3910,3743.332302,140,20,364.9188969,,,,,,,,
1.7,3915,3722.369772,140,20,365.9004214,,,,,,,,
1.7,3920,3701.261504,140,20,366.8836195,,,,,,,,
1.7,3925,3680.004989,140,20,367.8684983,,,,,,,,
1.7,3930,3658.597644,140,20,368.855065,,,,,,,,
1.7,3935,3637.036805,140,20,369.8433274,,,,,,,,
1.7,3940,3615.319726,140,20,370.8332932,,,,,,,,
1.7,3945,3593.443574,140,20,371.8249705,,,,,,,,
1.7,3950,3571.405426,140,20,372.8183676,,,,,,,,
1.7,3955,3549.202265,140,20,373.8134931,,,,,,,,
1.7,3960,3526.830974,140,20,374.8103558,,,,,,,,
1.7,3965,3504.288333,140,20,375.8089648,,,,,,,,
1.7,3970,3481.571013,140,20,376.8093296,,,,,,,,
