fov,sep,width,vel,dps,foot,,,,,,,,
4.2,1046,2934.244,100,44,72.7276,,,,,,,,
4.2,1048,2931.388,100,44,72.877,,,,,,,,
4.2,1050,2928.524,100,44,73.0267,,,,,,,,
4.2,1052,2925.651,100,46,73.2896,,,,,,,,
4.2,1054,2922.771,105,46,73.3157,,,,,,,,
4.2,1056,2919.882,105,46,73.4663,,,,,,,,
4.2,1058,2916.984,105,46,73.6173,,,,,,,,
4.2,1060,2914.078,105,46,73.7685,,,,,,,,
4.2,1062,2911.164,105,46,73.92,,,,,,,,
4.2,1064,2908.241,105,46,74.0718,,,,,,,,
4.2,1066,2905.31,105,46,74.224,,,,,,,,
4.2,1068,2902.371,105,46,74.3764,,,,,,,,
4.2,1070,2899.423,105,46,74.5292,,,,,,,,
4.2,1072,2896.466,110,46,74.5575,,,,,,,,
4.2,1074,2893.501,110,48,74.8252,,,,,,,,
4.2,1076,2890.527,115,48,74.8592,,,,,,,,
4.2,1078,2887.545,115,48,75.0131,,,,,,,,
4.2,1080,2884.554,115,48,75.1674,,,,,,,,
4.2,1082,2881.555,115,48,75.3219,,,,,,,,
4.2,1084,2878.546,115,48,75.4768,,,,,,,,
4.2,1086,2875.529,115,48,75.6319,,,,,,,,
4.2,1088,2872.504,115,48,75.7874,,,,,,,,
4.2,1090,2869.469,115,48,75.9432,,,,,,,,
4.2,1092,2866.426,115,48,76.0993,,,,,,,,
4.2,1094,2863.374,115,48,76.2557,,,,,,,,
4.2,1096,2860.313,115,48,76.4124,,,,,,,,
4.2,1098,2857.243,120,48,76.4492,,,,,,,,
4.2,1100,2854.164,120,48,76.6064,,,,,,,,
4.2,1102,2851.076,120,48,76.764,,,,,,,,
4.2,1104,2847.98,120,48,76.9219,,,,,,,,
4.2,1106,2844.874,120,48,77.0801,,,,,,,,
4.2,1108,2841.759,120,48,77.2386,,,,,,,,
4.2,1110,2838.636,120,48,77.3975,,,,,,,,
4.2,1112,2835.503,120,48,77.5566,,,,,,,,
4.2,1114,2832.361,120,48,77.7161,,,,,,,,
4.2,1116,2829.21,120,48,77.8758,,,,,,,,
4.2,1118,2826.05,120,48,78.0359,,,,,,,,
4.2,1120,2822.88,125,48,78.0756,,,,,,,,
4.2,1122,2819.701,125,48,78.2362,,,,,,,,
4.2,1124,2816.514,125,48,78.3972,,,,,,,,
4.2,1126,2813.316,125,48,78.5585,,,,,,,,
4.2,1128,2810.11,125,48,78.7201,,,,,,,,
4.2,1130,2806.894,125,48,78.882,,,,,,,,
4.2,1132,2803.668,125,48,79.0442,,,,,,,,
4.2,1134,2800.434,125,48,79.2067,,,,,,,,
4.2,1136,2797.189,125,48,79.3695,,,,,,,,
4.2,1138,2793.936,125,48,79.5327,,,,,,,,
4.2,1140,2790.672,125,48,79.6961,,,,,,,,
4.2,1142,2787.4,130,50,79.8648,,,,,,,,
4.2,1144,2784.117,135,50,79.9126,,,,,,,,
4.2,1146,2780.825,135,50,80.077,,,,,,,,
4.2,1148,2777.523,135,50,80.2417,,,,,,,,
4.2,1150,2774.212,135,50,80.4067,,,,,,,,
4.2,1152,2770.891,135,50,80.572,,,,,,,,
4.2,1154,2767.56,135,50,80.7376,,,,,,,,
4.2,1156,2764.219,135,50,80.9036,,,,,,,,
4.2,1158,2760.869,135,50,81.0698,,,,,,,,
4.2,1160,2757.508,135,50,81.2364,,,,,,,,
4.2,1162,2754.138,140,50,81.2869,,,,,,,,
4.2,1164,2750.758,140,50,81.4541,,,,,,,,
4.2,1166,2747.368,140,50,81.6215,,,,,,,,
4.2,1168,2743.967,140,50,81.7894,,,,,,,,
4.2,1170,2740.557,140,50,81.9575,,,,,,,,
4.2,1172,2737.137,140,50,82.1259,,,,,,,,
4.2,1174,2733.706,140,50,82.2947,,,,,,,,
