sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
43,43,825297861771,8.593,2.000000,38.061730000,127.269560000,797.000000,3488.751420,5315.113828,1826.362408,52.350030,2.617956,9.195019,9.525713,10.228094,9.997126,9.736488,10.228094,38.077625000,127.270996000,38.077625000,127.270996000,38.078056000,127.270800000,38.078040738,127.270696874,38.077980000,127.271270000,38.078016490,127.271368327,38.077200000,127.271194000,38.077131743,127.271272135,38.077316000,127.270740000,38.077271124,127.270641179
44,44,825297861974,8.796,2.000000,38.061800000,127.269585000,797.000000,3340.408805,4999.130860,1658.722055,49.656259,4.867048,9.661260,13.395064,9.280602,8.242929,10.144964,13.395064,38.077686000,127.270340000,38.077686000,127.270340000,38.078080000,127.270120000,38.078123906,127.270024896,38.078022000,127.270600000,38.078115291,127.270696548,38.077297000,127.270550000,38.077333329,127.270645325,38.077347000,127.270096000,38.077348347,127.270001948
45,45,825297862176,8.998,2.000000,38.061870000,127.269615000,797.000000,3216.123132,5209.784416,1993.661284,61.989582,1.514986,10.233339,12.278174,8.809050,13.701545,11.255527,13.701545,38.077710000,127.269684000,38.077710000,127.269684000,38.078090000,127.269440000,38.078149552,127.269351036,38.078053000,127.269920000,38.078129983,127.270020343,38.077340000,127.269905000,38.077357190,127.270003127,38.077393000,127.269450000,38.077290771,127.269362921
46,46,825297862390,9.212,2.000000,38.062010000,127.269660000,797.000000,2929.387081,7922.542172,4993.155091,170.450506,34.628701,11.246645,10.677704,7.881643,139.386933,42.298231,139.386933,38.077873000,127.268340000,38.077873000,127.268340000,38.078194000,127.268074000,38.078119981,127.267986646,38.078210000,127.268555000,38.078277407,127.268641691,38.077568000,127.268600000,38.077585908,127.268687020,38.077568000,127.268135000,38.076316207,127.268172121
47,47,825297862581,9.403,2.000000,38.062084000,127.269690000,797.000000,2701.264279,4751.028191,2049.763912,75.881650,11.555011,9.351163,9.213881,36.250364,9.203127,16.004634,36.250364,38.077873000,127.267660000,38.077873000,127.267660000,38.078150000,127.267390000,38.078109458,127.267296536,38.078200000,127.267850000,38.078185052,127.267953419,38.077602000,127.267930000,38.077290807,127.268051863,38.077560000,127.267470000,38.077513022,127.267383579
48,48,825297862785,9.607,2.000000,38.062084000,127.269690000,797.000000,2701.264279,4751.028191,2049.763912,75.881650,11.555011,9.351163,9.213881,36.250364,9.203127,16.004634,36.250364,38.077873000,127.267660000,38.077873000,127.267660000,38.078150000,127.267390000,38.078109458,127.267296536,38.078200000,127.267850000,38.078185052,127.267953419,38.077602000,127.267930000,38.077290807,127.268051863,38.077560000,127.267470000,38.077513022,127.267383579
49,49,825297862973,9.795,2.000000,38.062153000,127.269714000,797.000000,2942.551491,4240.969703,1298.418212,44.125590,12.934164,9.780871,24.077284,17.111344,12.095521,15.766255,24.077284,38.078346000,127.267715000,38.078346000,127.267715000,38.078625000,127.267430000,38.078669687,127.267333896,38.078690000,127.267920000,38.078898827,127.267991554,38.078056000,127.267990000,38.078197706,127.268065665,38.078014000,127.267525000,38.078081352,127.267416684
50,50,825297863176,9.998,2.000000,38.062225000,127.269745000,797.000000,3014.838474,4265.002282,1250.163808,41.467024,8.477478,13.989420,30.337211,18.950330,8.165463,17.860606,30.337211,38.078217000,127.268400000,38.078217000,127.268400000,38.078518000,127.268135000,38.078411722,127.268049802,38.078556000,127.268616000,38.078822111,127.268690661,38.077885000,127.268660000,38.078042448,127.268742229,38.077885000,127.268196000,38.077871929,127.268104307
51,51,825297863380,10.202,2.000000,38.062294000,127.269770000,797.000000,3176.911792,4488.572924,1311.661133,41.287301,7.335107,14.153986,7.995811,10.387540,12.076198,11.153384,14.153986,38.078213000,127.269070000,38.078213000,127.269070000,38.078545000,127.268820000,38.078440855,127.268727339,38.078570000,127.269300000,38.078556211,127.269389551,38.077860000,127.269325000,38.077794488,127.269409415,38.077877000,127.268860000,38.077797041,127.268766863
52,52,825297863580,10.402,2.000000,38.062440000,127.269820000,797.000000,3259.710575,5217.289524,1957.578949,60.053766,3.127314,12.623285,11.546347,7.541849,11.646317,10.839450,12.623285,38.078070000,127.270520000,38.078070000,127.270520000,38.078470000,127.270310000,38.078551165,127.270209399,38.078420000,127.270775000,38.078491719,127.270870191,38.077686000,127.270740000,38.077708850,127.270821024,38.077750000,127.270290000,38.077684459,127.270186406
53,53,825297863784,10.606,2.000000,38.062508000,127.269844000,797.000000,3291.023894,4908.992713,1617.968819,49.163083,1.897299,7.444877,9.045714,9.300385,8.973454,8.691108,9.300385,38.078050000,127.271190000,38.078050000,127.271190000,38.078453000,127.270980000,38.078454170,127.270895053,38.078380000,127.271450000,38.078400425,127.271549915,38.077660000,127.271380000,38.077612604,127.271467404,38.077724000,127.270930000,38.077682590,127.270842141
54,54,825297863973,10.795,2.000000,38.062570000,127.269870000,797.000000,3435.571837,5341.026396,1905.454559,55.462515,2.708715,8.949586,18.894315,7.936857,9.943239,11.430999,18.894315,38.078390000,127.271620000,38.078390000,127.271620000,38.078820000,127.271430000,38.078804054,127.271329896,38.078720000,127.271900000,38.078865632,127.272010746,38.077960000,127.271805000,38.077968455,127.271894936,38.078080000,127.271360000,38.078039189,127.271259064
55,55,825297864176,10.998,2.000000,38.062637000,127.269890000,797.000000,3651.797819,6205.805376,2554.007557,69.938361,5.876730,14.535992,20.218280,9.220283,8.539814,13.128592,20.218280,38.079063000,127.271190000,38.079063000,127.271190000,38.079502000,127.270970000,38.079614138,127.270885008,38.079437000,127.271460000,38.079591790,127.271580702,38.078670000,127.271390000,38.078639367,127.271487762,38.078724000,127.270920000,38.078696185,127.270829174
56,56,825297864380,11.202,2.000000,38.062710000,127.269910000,797.000000,3543.912058,5896.128003,2352.215945,66.373429,1.738218,12.064322,10.179465,12.993339,12.201383,11.859627,12.993339,38.079080000,127.270510000,38.079080000,127.270510000,38.079460000,127.270270000,38.079543160,127.270181712,38.079445000,127.270760000,38.079477086,127.270868783,38.078680000,127.270730000,38.078587198,127.270819935,38.078720000,127.270256000,38.078637008,127.270165045
57,57,825297864586,11.408,2.000000,38.062780000,127.269940000,797.000000,3414.787815,5952.108404,2537.320588,74.303902,1.576235,9.614385,15.526874,10.623226,18.368224,13.533177,18.368224,38.079056000,127.269820000,38.079056000,127.269820000,38.079433000,127.269570000,38.079475390,127.269474404,38.079433000,127.270060000,38.079547983,127.270160301,38.078710000,127.270060000,38.078646500,127.270150498,38.078705000,127.269585000,38.078554862,127.269498046
